Month,Day,Imsaak,Fajr,Sunrise,Zohr,Sunset,Maghrib,Tomorrow_Fajr
1,1,6:24:00,6:34:00,8:06:00,12:10:00,16:01:00,16:16:00,6:33:00
1,2,6:23:00,6:33:00,8:05:00,12:11:00,16:02:00,16:17:00,6:33:00
1,3,6:23:00,6:33:00,8:05:00,12:11:00,16:04:00,16:19:00,6:33:00
1,4,6:23:00,6:33:00,8:05:00,12:11:00,16:05:00,16:20:00,6:33:00
1,5,6:23:00,6:33:00,8:05:00,12:12:00,16:06:00,16:21:00,6:33:00
1,6,6:23:00,6:33:00,8:04:00,12:12:00,16:07:00,16:22:00,6:33:00
1,7,6:23:00,6:33:00,8:04:00,12:13:00,16:08:00,16:23:00,6:33:00
1,8,6:23:00,6:33:00,8:04:00,12:13:00,16:10:00,16:25:00,6:33:00
1,9,6:23:00,6:33:00,8:03:00,12:14:00,16:11:00,16:26:00,6:33:00
1,10,6:23:00,6:33:00,8:03:00,12:14:00,16:12:00,16:27:00,6:32:00
1,11,6:22:00,6:32:00,8:02:00,12:14:00,16:14:00,16:29:00,6:32:00
1,12,6:22:00,6:32:00,8:01:00,12:15:00,16:15:00,16:30:00,6:32:00
1,13,6:22:00,6:32:00,8:01:00,12:15:00,16:17:00,16:32:00,6:31:00
1,14,6:21:00,6:31:00,8:00:00,12:16:00,16:18:00,16:33:00,6:30:00
1,15,6:20:00,6:30:00,7:59:00,12:16:00,16:20:00,16:35:00,6:30:00
1,16,6:20:00,6:30:00,7:58:00,12:16:00,16:21:00,16:36:00,6:29:00
1,17,6:19:00,6:29:00,7:57:00,12:17:00,16:23:00,16:38:00,6:29:00
1,18,6:19:00,6:29:00,7:56:00,12:17:00,16:25:00,16:40:00,6:29:00
1,19,6:19:00,6:29:00,7:55:00,12:17:00,16:26:00,16:41:00,6:27:00
1,20,6:17:00,6:27:00,7:54:00,12:18:00,16:28:00,16:43:00,6:26:00
1,21,6:16:00,6:26:00,7:53:00,12:18:00,16:30:00,16:45:00,6:26:00
1,22,6:16:00,6:26:00,7:52:00,12:18:00,16:31:00,16:46:00,6:25:00
1,23,6:15:00,6:25:00,7:51:00,12:18:00,16:33:00,16:48:00,6:24:00
1,24,6:14:00,6:24:00,7:50:00,12:19:00,16:35:00,16:50:00,6:23:00
1,25,6:13:00,6:23:00,7:49:00,12:19:00,16:36:00,16:51:00,6:21:00
1,26,6:11:00,6:21:00,7:47:00,12:19:00,16:38:00,16:53:00,6:20:00
1,27,6:10:00,6:20:00,7:46:00,12:19:00,16:40:00,16:55:00,6:18:00
1,28,6:08:00,6:18:00,7:45:00,12:20:00,16:42:00,16:57:00,6:17:00
1,29,6:07:00,6:17:00,7:43:00,12:20:00,16:44:00,16:59:00,6:15:00
1,30,6:05:00,6:15:00,7:42:00,12:20:00,16:45:00,17:00:00,6:14:00
1,31,6:04:00,6:14:00,7:40:00,12:20:00,16:47:00,17:02:00,6:12:00
2,1,6:02:00,6:12:00,7:39:00,12:20:00,16:49:00,17:04:00,6:10:00
