Month,Day,Imsaak,Fajr,Sunrise,Zohr,Sunset,Maghrib,Tomorrow_Fajr
1,1,06:30:00,06:40:00,08:12:00,12:09:00,15:57:00,16:12:00,06:39:00
1,2,06:29:00,06:39:00,08:12:00,12:10:00,15:58:00,16:13:00,06:39:00
1,3,06:29:00,06:39:00,08:12:00,12:10:00,15:59:00,16:14:00,06:39:00
1,4,06:29:00,06:39:00,08:12:00,12:11:00,16:00:00,16:15:00,06:39:00
1,5,06:29:00,06:39:00,08:11:00,12:11:00,16:01:00,16:16:00,06:39:00
1,6,06:29:00,06:39:00,08:11:00,12:12:00,16:02:00,16:17:00,06:39:00
1,7,06:29:00,06:39:00,08:10:00,12:12:00,16:04:00,16:19:00,06:38:00
1,8,06:28:00,06:38:00,08:10:00,12:12:00,16:05:00,16:20:00,06:39:00
1,9,06:29:00,06:39:00,08:10:00,12:13:00,16:06:00,16:21:00,06:38:00
1,10,06:28:00,06:38:00,08:09:00,12:13:00,16:08:00,16:23:00,06:38:00
1,11,06:28:00,06:38:00,08:09:00,12:14:00,16:09:00,16:24:00,06:38:00
1,12,06:28:00,06:38:00,08:08:00,12:14:00,16:11:00,16:26:00,06:37:00
1,13,06:27:00,06:37:00,08:07:00,12:15:00,16:12:00,16:27:00,06:36:00
1,14,06:26:00,06:36:00,08:06:00,12:15:00,16:14:00,16:29:00,06:36:00
1,15,06:26:00,06:36:00,08:05:00,12:15:00,16:15:00,16:30:00,06:36:00
1,16,06:26:00,06:36:00,08:05:00,12:16:00,16:17:00,16:32:00,06:35:00
1,17,06:25:00,06:35:00,08:04:00,12:16:00,16:19:00,16:34:00,06:35:00
1,18,06:25:00,06:35:00,08:02:00,12:17:00,16:20:00,16:35:00,06:35:00
1,19,06:25:00,06:35:00,08:02:00,12:17:00,16:22:00,16:37:00,06:33:00
1,20,06:23:00,06:33:00,08:01:00,12:17:00,16:24:00,16:39:00,06:31:00
1,21,06:21:00,06:31:00,07:59:00,12:17:00,16:26:00,16:41:00,06:31:00
1,22,06:21:00,06:31:00,07:58:00,12:17:00,16:27:00,16:42:00,06:30:00
1,23,06:20:00,06:30:00,07:57:00,12:18:00,16:29:00,16:44:00,06:29:00
1,24,06:19:00,06:29:00,07:56:00,12:18:00,16:31:00,16:46:00,06:27:00
1,25,06:17:00,06:27:00,07:54:00,12:18:00,16:33:00,16:48:00,06:26:00
1,26,06:16:00,06:26:00,07:53:00,12:18:00,16:34:00,16:49:00,06:25:00
1,27,06:15:00,06:25:00,07:52:00,12:19:00,16:36:00,16:51:00,06:22:00
1,28,06:12:00,06:22:00,07:50:00,12:19:00,16:38:00,16:53:00,06:22:00
1,29,06:12:00,06:22:00,07:49:00,12:19:00,16:40:00,16:55:00,06:19:00
1,30,06:09:00,06:19:00,07:47:00,12:19:00,16:42:00,16:57:00,06:19:00
1,31,06:09:00,06:19:00,07:46:00,12:19:00,16:44:00,16:59:00,06:16:00
2,1,06:06:00,06:16:00,07:44:00,12:20:00,16:46:00,17:01:00,06:14:00
2,2,06:04:00,06:14:00,07:43:00,12:20:00,16:47:00,17:02:00,06:14:00
2,3,06:04:00,06:14:00,07:41:00,12:20:00,16:49:00,17:04:00,06:11:00
2,4,06:01:00,06:11:00,07:39:00,12:20:00,16:51:00,17:06:00,06:10:00
2,5,06:00:00,06:10:00,07:38:00,12:20:00,16:53:00,17:08:00,06:09:00
2,6,05:59:00,06:09:00,07:36:00,12:20:00,16:55:00,17:10:00,06:08:00
2,7,05:58:00,06:08:00,07:34:00,12:20:00,16:57:00,17:12:00,06:05:00
2,8,05:55:00,06:05:00,07:32:00,12:20:00,16:59:00,17:14:00,06:04:00
2,9,05:54:00,06:04:00,07:30:00,12:20:00,17:01:00,17:16:00,06:02:00
2,10,05:52:00,06:02:00,07:29:00,12:21:00,17:03:00,17:18:00,06:00:00
2,11,05:50:00,06:00:00,07:27:00,12:21:00,17:05:00,17:20:00,06:00:00
2,12,05:50:00,06:00:00,07:25:00,12:21:00,17:07:00,17:22:00,05:58:00
2,13,05:48:00,05:58:00,07:23:00,12:20:00,17:08:00,17:23:00,05:57:00
2,14,05:47:00,05:57:00,07:21:00,12:20:00,17:10:00,17:25:00,05:55:00
2,15,05:45:00,05:55:00,07:19:00,12:20:00,17:12:00,17:27:00,05:54:00
2,16,05:44:00,05:54:00,07:17:00,12:20:00,17:14:00,17:29:00,05:52:00
2,17,05:42:00,05:52:00,07:15:00,12:20:00,17:16:00,17:31:00,05:50:00
2,18,05:40:00,05:50:00,07:13:00,12:20:00,17:18:00,17:33:00,05:49:00
2,19,05:39:00,05:49:00,07:11:00,12:20:00,17:20:00,17:35:00,05:46:00
2,20,05:36:00,05:46:00,07:09:00,12:20:00,17:22:00,17:37:00,05:44:00
2,21,05:34:00,05:44:00,07:07:00,12:20:00,17:24:00,17:39:00,05:43:00
2,22,05:33:00,05:43:00,07:05:00,12:20:00,17:26:00,17:41:00,05:41:00
2,23,05:31:00,05:41:00,07:02:00,12:19:00,17:27:00,17:42:00,05:39:00
2,24,05:29:00,05:39:00,07:00:00,12:19:00,17:29:00,17:44:00,05:37:00
2,25,05:27:00,05:37:00,06:58:00,12:19:00,17:31:00,17:46:00,05:35:00
2,26,05:25:00,05:35:00,06:56:00,12:19:00,17:33:00,17:48:00,05:32:00
2,27,05:22:00,05:32:00,06:54:00,12:19:00,17:35:00,17:50:00,05:29:00
2,28,05:19:00,05:29:00,06:52:00,12:19:00,17:37:00,17:52:00,05:28:00
2,29,05:18:00,05:28:00,06:49:00,12:19:00,17:39:00,17:54:00,05:27:00
3,1,05:17:00,05:27:00,06:47:00,12:18:00,17:40:00,17:55:00,05:24:00
3,2,05:14:00,05:24:00,06:45:00,12:18:00,17:42:00,17:57:00,05:22:00
3,3,05:12:00,05:22:00,06:43:00,12:18:00,17:44:00,17:59:00,05:19:00
3,4,05:09:00,05:19:00,06:40:00,12:18:00,17:46:00,18:01:00,05:16:00
3,5,05:06:00,05:16:00,06:38:00,12:18:00,17:48:00,18:03:00,05:14:00
3,6,05:04:00,05:14:00,06:36:00,12:18:00,17:50:00,18:05:00,05:11:00
3,7,05:01:00,05:11:00,06:33:00,12:17:00,17:51:00,18:06:00,05:08:00
3,8,04:58:00,05:08:00,06:31:00,12:17:00,17:53:00,18:08:00,05:05:00
3,9,04:55:00,05:05:00,06:29:00,12:17:00,17:55:00,18:10:00,05:03:00
3,10,04:53:00,05:03:00,06:27:00,12:17:00,17:57:00,18:12:00,05:00:00
3,11,04:50:00,05:00:00,06:24:00,12:16:00,17:59:00,18:14:00,04:56:00
3,12,04:46:00,04:56:00,06:22:00,12:16:00,18:00:00,18:15:00,04:54:00
3,13,04:44:00,04:54:00,06:20:00,12:16:00,18:02:00,18:17:00,04:52:00
3,14,04:42:00,04:52:00,06:17:00,12:15:00,18:04:00,18:19:00,04:48:00
3,15,04:38:00,04:48:00,06:15:00,12:15:00,18:06:00,18:21:00,04:46:00
3,16,04:36:00,04:46:00,06:13:00,12:15:00,18:08:00,18:23:00,04:43:00
3,17,04:33:00,04:43:00,06:10:00,12:14:00,18:09:00,18:24:00,04:41:00
3,18,04:31:00,04:41:00,06:08:00,12:14:00,18:11:00,18:26:00,04:38:00
3,19,04:28:00,04:38:00,06:05:00,12:14:00,18:13:00,18:28:00,04:35:00
3,20,04:25:00,04:35:00,06:03:00,12:14:00,18:15:00,18:30:00,04:32:00
3,21,04:22:00,04:32:00,06:01:00,12:13:00,18:16:00,18:31:00,04:30:00
3,22,04:20:00,04:30:00,05:58:00,12:13:00,18:18:00,18:33:00,04:27:00
3,23,04:17:00,04:27:00,05:56:00,12:13:00,18:20:00,18:35:00,04:24:00
3,24,04:14:00,04:24:00,05:54:00,12:13:00,18:22:00,18:37:00,04:22:00
3,25,04:12:00,04:22:00,05:51:00,12:12:00,18:24:00,18:39:00,04:18:00
3,26,04:08:00,04:18:00,05:49:00,12:12:00,18:25:00,18:40:00,04:16:00
3,27,04:06:00,04:16:00,05:47:00,12:12:00,18:27:00,18:42:00,04:13:00
3,28,04:03:00,04:13:00,05:44:00,12:11:00,18:29:00,18:44:00,04:09:00
3,29,03:59:00,04:09:00,05:42:00,12:11:00,18:31:00,18:46:00,04:08:00
3,30,03:58:00,04:08:00,05:40:00,12:11:00,18:32:00,18:47:00,04:05:00
3,31,03:55:00,04:05:00,05:37:00,12:10:00,18:34:00,18:49:00,04:01:00
4,1,03:51:00,04:01:00,05:35:00,12:10:00,18:36:00,18:51:00,03:59:00
4,2,03:49:00,03:59:00,05:32:00,12:10:00,18:38:00,18:53:00,03:56:00
4,3,03:46:00,03:56:00,05:30:00,12:09:00,18:39:00,18:54:00,03:52:00
4,4,03:42:00,03:52:00,05:28:00,12:09:00,18:41:00,18:56:00,03:50:00
4,5,03:40:00,03:50:00,05:25:00,12:09:00,18:43:00,18:58:00,03:48:00
4,6,03:38:00,03:48:00,05:23:00,12:09:00,18:45:00,19:00:00,03:44:00
4,7,03:34:00,03:44:00,05:21:00,12:08:00,18:46:00,19:01:00,03:42:00
4,8,03:32:00,03:42:00,05:19:00,12:08:00,18:48:00,19:03:00,03:39:00
4,9,03:29:00,03:39:00,05:16:00,12:08:00,18:50:00,19:05:00,03:36:00
4,10,03:26:00,03:36:00,05:14:00,12:08:00,18:52:00,19:07:00,03:34:00
4,11,03:24:00,03:34:00,05:12:00,12:07:00,18:53:00,19:08:00,03:31:00
4,12,03:21:00,03:31:00,05:09:00,12:07:00,18:55:00,19:10:00,03:29:00
4,13,03:19:00,03:29:00,05:07:00,12:07:00,18:57:00,19:12:00,03:25:00
4,14,03:15:00,03:25:00,05:05:00,12:07:00,18:59:00,19:14:00,03:22:00
4,15,03:12:00,03:22:00,05:03:00,12:07:00,19:00:00,19:15:00,03:20:00
4,16,03:10:00,03:20:00,05:00:00,12:06:00,19:02:00,19:17:00,03:18:00
4,17,03:08:00,03:18:00,04:58:00,12:06:00,19:04:00,19:19:00,03:15:00
4,18,03:05:00,03:15:00,04:56:00,12:06:00,19:06:00,19:21:00,03:11:00
4,19,03:01:00,03:11:00,04:54:00,12:05:00,19:07:00,19:22:00,03:09:00
4,20,02:59:00,03:09:00,04:52:00,12:05:00,19:09:00,19:24:00,03:08:00
